n_edges,policy,hit_ratio,avg_latency,p95_latency,origin_load
1,NOCACHE,0.0,100.0,100,200000.0
1,LRU,0.579255,47.86705,100,84149.0
1,LFU,0.574085,48.33235,100,85183.0
1,FIFO,0.52297,52.9327,100,95406.0
1,RANDOM,0.52399,52.8409,100,95202.0
2,NOCACHE,0.0,100.0,100,200000.0
2,LRU,0.578245,47.95795,100,84351.0
2,LFU,0.570465,48.65815,100,85907.0
2,FIFO,0.52282,52.9462,100,95436.0
2,RANDOM,0.52359,52.8769,100,95282.0
4,NOCACHE,0.0,100.0,100,200000.0
4,LRU,0.57822,47.9602,100,84356.0
4,LFU,0.56891,48.7981,100,86218.0
4,FIFO,0.522965,52.93315,100,95407.0
4,RANDOM,0.522445,52.97995,100,95511.0
8,NOCACHE,0.0,100.0,100,200000.0
8,LRU,0.57781,47.9971,100,84438.0
8,LFU,0.570825,48.62575,100,85835.0
8,FIFO,0.523175,52.91425,100,95365.0
8,RANDOM,0.52233,52.9903,100,95534.0
